City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Punta Arenas,CL,48.31,light rain,-53.15,-70.9167,Hotel Hain
1,Mataura,NZ,56.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
2,Codrington,AU,58.5,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
3,Richards Bay,ZA,79.09,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
4,Muncar,ID,75.54,broken clouds,-8.4333,114.3333,Zaky Homestay
6,Severo-Kurilsk,RU,26.85,overcast clouds,50.6789,156.125,Kak Doma
8,Hermanus,ZA,70.81,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
10,Margate,GB,51.89,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
11,Hamilton,US,45.07,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
12,Dandong,CN,12.56,clear sky,40.1292,124.3947,Yiranju Farmstay
13,Busselton,AU,69.04,overcast clouds,-33.65,115.3333,Observatory Guest House
14,Hilo,US,67.24,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Honningsvag,NO,22.75,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
17,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
18,Sitka,US,30.52,snow,57.0531,-135.33,Westmark Sitka
20,Esperance,AU,60.84,clear sky,-33.8667,121.9,Hospitality Esperance
22,Port-Gentil,GA,80.85,moderate rain,-0.7193,8.7815,Fengshui Residence
23,Rikitea,PF,77.29,broken clouds,-23.1203,-134.9692,People ThankYou
24,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
25,Butaritari,KI,80.85,light rain,3.0707,172.7902,Isles Sunset Lodge
26,Kaita,JP,39.13,broken clouds,34.3667,132.55,Kaita Central Hotel
27,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
28,Woodward,US,20.43,light snow,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
29,Namibe,AO,75.43,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
30,Longyearbyen,SJ,19.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
31,Abha,SA,59.76,scattered clouds,18.2164,42.5053,Abha Hotel
32,Komsomolskiy,UZ,36.82,haze,40.4272,71.7189,Ikathouse
34,Port Macquarie,AU,71.49,light rain,-31.4333,152.9167,Rydges Port Macquarie
36,Korla,CN,24.37,few clouds,41.7597,86.1469,Gulisitan Hotel
39,Hobart,AU,55.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
40,Rio Cuarto,AR,72.84,overcast clouds,-33.1307,-64.3499,Hotel Menossi
41,Viedma,AR,86.23,overcast clouds,-40.8135,-62.9967,Hotel Cristal
43,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
45,Alhandra,BR,87.46,overcast clouds,-7.4386,-34.9144,Hotel E Pousada Central
47,Port Alfred,ZA,79.32,light rain,-33.5906,26.891,The Halyards Hotel
48,Sinnamary,GF,80.35,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
49,Ushuaia,AR,47.82,broken clouds,-54.8,-68.3,Albatross Hotel
50,Faanui,PF,80.56,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,Jumla,NP,38.12,overcast clouds,29.2747,82.1838,Royal Garden Hotel
52,Cape Town,ZA,70.09,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
53,Tasiilaq,GL,15.96,overcast clouds,65.6145,-37.6368,The Red House
54,Usinsk,RU,15.57,light snow,65.9939,57.5281,Dobro Pozhalovaty
55,Atuona,PF,78.1,light rain,-9.8,-139.0333,Villa Enata
56,Cairns,AU,82.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
57,Grenaa,DK,37.85,scattered clouds,56.4158,10.8783,Hotel Marina
58,Ancud,CL,73.22,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
60,Isla Vista,US,60.42,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
61,Victoria,HK,60.94,light rain,22.2855,114.1577,Mini Hotel Central
62,Jamestown,US,39.94,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
65,Balkhash,KZ,11.48,overcast clouds,46.844,74.9804,Family
66,Arraial Do Cabo,BR,84.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
67,Uppsala,SE,22.42,overcast clouds,60.0,17.75,Läderskål
68,Guerrero Negro,MX,59.97,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
69,Yulara,AU,64.94,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
70,Dourados,BR,79.74,overcast clouds,-22.2211,-54.8056,Alphonsus Hotel
72,Hithadhoo,MV,82.54,broken clouds,-0.6,73.0833,Scoop Guest House
73,Havre-Saint-Pierre,CA,23.36,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
74,Yuyao,CN,40.8,light rain,30.05,121.1494,Grand Pacific Hotel Ningbo
75,Port Hardy,CA,41.76,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
76,Saldanha,ZA,66.97,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
77,Kikwit,CD,73.99,moderate rain,-5.041,18.8162,HOTEL PLACE YALABA
78,Hebi,CN,32.79,broken clouds,35.8992,114.1925,Wangfu Hotel
80,Angoche,MZ,78.82,scattered clouds,-16.2325,39.9086,Guest House HESADA
81,Dunedin,NZ,61.41,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
82,Mayumba,GA,79.92,broken clouds,-3.432,10.6554,LIKWALE LODGE
83,Mbandaka,CD,79.18,overcast clouds,0.0487,18.2603,Guest House Epervier
87,Vanimo,PG,77.16,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
88,Kapaa,US,67.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Sur,OM,73.8,clear sky,22.5667,59.5289,Sur Plaza Hotel
91,Liverpool,GB,52.77,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
