City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,48.31,87,75,8.05,light rain
1,Mataura,NZ,-46.1927,168.8643,56.48,98,100,5.79,overcast clouds
2,Codrington,AU,-38.2667,141.9667,58.5,62,99,12.19,overcast clouds
3,Richards Bay,ZA,-28.783,32.0377,79.09,77,23,15.88,few clouds
4,Muncar,ID,-8.4333,114.3333,75.54,90,78,3.49,broken clouds
5,Heihe,CN,50.2441,127.4902,-5.01,86,10,10.4,clear sky
6,Severo-Kurilsk,RU,50.6789,156.125,26.85,88,96,7.2,overcast clouds
7,Iqaluit,CA,63.7506,-68.5145,6.53,77,100,17.0,light snow
8,Hermanus,ZA,-34.4187,19.2345,70.81,77,14,20.22,few clouds
9,Smithers,CA,54.7804,-127.1743,8.92,85,100,13.8,light snow
10,Margate,GB,51.3813,1.3862,51.89,76,94,1.01,overcast clouds
11,Hamilton,US,39.1834,-84.5333,45.07,93,100,1.01,moderate rain
12,Dandong,CN,40.1292,124.3947,12.56,76,0,3.09,clear sky
13,Busselton,AU,-33.65,115.3333,69.04,52,99,20.89,overcast clouds
14,Hilo,US,19.7297,-155.09,67.24,92,46,8.01,scattered clouds
15,Marabba,SD,12.35,32.1833,84.11,17,38,8.7,scattered clouds
16,Honningsvag,NO,70.9821,25.9704,22.75,93,75,4.61,broken clouds
17,Ambon,ID,-3.6954,128.1814,78.94,89,20,2.3,few clouds
18,Sitka,US,57.0531,-135.33,30.52,95,100,6.06,snow
19,Pedro Ii,BR,-4.4247,-41.4586,91.87,28,67,5.73,broken clouds
20,Esperance,AU,-33.8667,121.9,60.84,72,0,15.21,clear sky
21,Chokurdakh,RU,70.6333,147.9167,-17.09,99,71,7.47,broken clouds
22,Port-Gentil,GA,-0.7193,8.7815,80.85,76,62,8.59,moderate rain
23,Rikitea,PF,-23.1203,-134.9692,77.29,75,57,6.35,broken clouds
24,Ribeira Grande,PT,38.5167,-28.7,63.0,67,40,13.8,scattered clouds
25,Butaritari,KI,3.0707,172.7902,80.85,82,93,17.74,light rain
26,Kaita,JP,34.3667,132.55,39.13,64,55,4.0,broken clouds
27,Vaini,TO,-21.2,-175.2,75.36,94,20,2.3,few clouds
28,Woodward,US,36.4337,-99.3904,20.43,84,100,18.41,light snow
29,Namibe,AO,-15.1961,12.1522,75.43,65,96,13.31,overcast clouds
30,Longyearbyen,SJ,78.2186,15.6401,19.24,68,20,13.8,few clouds
31,Abha,SA,18.2164,42.5053,59.76,74,29,4.61,scattered clouds
32,Komsomolskiy,UZ,40.4272,71.7189,36.82,69,100,2.3,haze
33,Leningradskiy,RU,69.3833,178.4167,-12.84,96,35,10.85,scattered clouds
34,Port Macquarie,AU,-31.4333,152.9167,71.49,94,75,6.91,light rain
35,Barrow,US,71.2906,-156.7887,-28.53,100,7,5.5,clear sky
36,Korla,CN,41.7597,86.1469,24.37,56,15,5.23,few clouds
37,Narsaq,GL,60.9167,-46.05,7.02,66,0,5.68,clear sky
38,Paamiut,GL,61.994,-49.6678,3.88,74,24,9.66,few clouds
39,Hobart,AU,-42.8794,147.3294,55.26,72,75,5.75,broken clouds
40,Rio Cuarto,AR,-33.1307,-64.3499,72.84,24,100,14.03,overcast clouds
41,Viedma,AR,-40.8135,-62.9967,86.23,31,95,17.38,overcast clouds
42,Albany,US,42.6001,-73.9662,42.57,74,98,3.0,overcast clouds
43,Olinda,BR,-8.0089,-34.8553,85.73,66,40,10.36,scattered clouds
44,Santa Cruz,BO,-17.8,-63.1667,91.45,55,20,11.5,few clouds
45,Alhandra,BR,-7.4386,-34.9144,87.46,54,94,12.71,overcast clouds
46,Pangnirtung,CA,66.1451,-65.7125,3.2,89,100,12.55,overcast clouds
47,Port Alfred,ZA,-33.5906,26.891,79.32,79,95,8.59,light rain
48,Sinnamary,GF,5.3833,-52.95,80.35,81,47,12.15,scattered clouds
49,Ushuaia,AR,-54.8,-68.3,47.82,65,75,25.32,broken clouds
50,Faanui,PF,-16.4833,-151.75,80.56,76,21,19.62,few clouds
51,Jumla,NP,29.2747,82.1838,38.12,93,93,2.06,overcast clouds
52,Cape Town,ZA,-33.9258,18.4232,70.09,90,100,4.0,light rain
53,Tasiilaq,GL,65.6145,-37.6368,15.96,77,100,9.19,overcast clouds
54,Usinsk,RU,65.9939,57.5281,15.57,96,100,9.26,light snow
55,Atuona,PF,-9.8,-139.0333,78.1,78,64,17.36,light rain
56,Cairns,AU,-16.9167,145.7667,82.11,87,75,1.14,broken clouds
57,Grenaa,DK,56.4158,10.8783,37.85,76,47,17.16,scattered clouds
58,Ancud,CL,-41.8697,-73.8203,73.22,71,98,6.62,overcast clouds
59,Talnakh,RU,69.4865,88.3972,-1.53,98,96,6.49,overcast clouds
60,Isla Vista,US,34.4133,-119.861,60.42,55,0,0.0,clear sky
61,Victoria,HK,22.2855,114.1577,60.94,94,100,4.0,light rain
62,Jamestown,US,42.097,-79.2353,39.94,52,0,11.5,clear sky
63,Aklavik,CA,68.2191,-135.0107,-30.87,100,61,2.89,broken clouds
64,Ciudad Bolivar,VE,8.1222,-63.5497,94.77,34,43,11.63,scattered clouds
65,Balkhash,KZ,46.844,74.9804,11.48,82,91,10.45,overcast clouds
66,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,74,40,12.66,scattered clouds
67,Uppsala,SE,60.0,17.75,22.42,82,100,2.3,overcast clouds
68,Guerrero Negro,MX,27.9769,-114.0611,59.97,64,89,11.52,overcast clouds
69,Yulara,AU,-25.2406,130.9889,64.94,77,100,16.31,overcast clouds
70,Dourados,BR,-22.2211,-54.8056,79.74,79,94,8.05,overcast clouds
71,Dikson,RU,73.5069,80.5464,-7.28,99,98,11.74,overcast clouds
72,Hithadhoo,MV,-0.6,73.0833,82.54,70,51,9.13,broken clouds
73,Havre-Saint-Pierre,CA,50.2334,-63.5986,23.36,74,100,11.5,overcast clouds
74,Yuyao,CN,30.05,121.1494,40.8,98,100,3.98,light rain
75,Port Hardy,CA,50.6996,-127.4199,41.76,93,100,13.09,light rain
76,Saldanha,ZA,-33.0117,17.9442,66.97,85,100,9.62,overcast clouds
